ticker,company_name,cik,adsh,form,fy,fp,period_end,filed_at,revenue,operating_income,net_income,diluted_eps,operating_cash_flow,capex,net_margin,operating_margin,free_cash_flow
GOOGL,ALPHABET INC,1652044,0001652044-18-000007,10-K,2017.0,FY,2017-12-31,2018-02-06,110855000000.0,26146000000.0,12662000000.0,72.0,37091000000.0,13184000000.0,0.11422128005051645,0.2358576518876009,23907000000.0
GOOGL,ALPHABET INC,1652044,0001652044-18-000016,10-Q,2018.0,Q1,2018-03-31,2018-04-24,31146000000.0,7001000000.0,9401000000.0,13.33,11642000000.0,7299000000.0,0.30183651191164196,0.2247800680665254,4343000000.0
GOOGL,ALPHABET INC,1652044,0001652044-18-000027,10-Q,2018.0,Q2,2018-06-30,2018-07-24,32657000000.0,2807000000.0,3195000000.0,4.54,21774000000.0,5477000000.0,0.09783507364424167,0.08595400679793,16297000000.0
GOOGL,ALPHABET INC,1652044,0001652044-18-000035,10-Q,2018.0,Q3,2018-09-30,2018-10-26,33740000000.0,8310000000.0,9192000000.0,13.06,34984000000.0,5282000000.0,0.2724362774155305,0.24629519857735627,29702000000.0
GOOGL,ALPHABET INC,1652044,0001652044-19-000004,10-K,2018.0,FY,2018-12-31,2019-02-05,136819000000.0,26321000000.0,30736000000.0,43.7,47971000000.0,25139000000.0,0.22464716157843576,0.19237825155862856,22832000000.0
GOOGL,ALPHABET INC,1652044,0001652044-19-000015,10-Q,2019.0,Q1,2019-03-31,2019-04-30,36339000000.0,6608000000.0,6657000000.0,9.5,12000000000.0,4638000000.0,0.18319161231734502,0.18184319876716476,7362000000.0
GOOGL,ALPHABET INC,1652044,0001652044-19-000023,10-Q,2019.0,Q2,2019-06-30,2019-07-26,38944000000.0,9180000000.0,9947000000.0,14.21,24627000000.0,6126000000.0,0.2554180361544782,0.23572308956450289,18501000000.0
GOOGL,ALPHABET INC,1652044,0001652044-19-000032,10-Q,2019.0,Q3,2019-09-30,2019-10-29,40499000000.0,9177000000.0,7068000000.0,10.12,40093000000.0,6732000000.0,0.17452282772414135,0.2265981876095706,33361000000.0
GOOGL,ALPHABET INC,1652044,0001652044-20-000008,10-K,2019.0,FY,2019-12-31,2020-02-04,161857000000.0,34231000000.0,34343000000.0,49.16,54520000000.0,23548000000.0,0.2121811228430034,0.2114891540063142,30972000000.0
GOOGL,ALPHABET INC,1652044,0001652044-20-000021,10-Q,2020.0,Q1,2020-03-31,2020-04-29,41159000000.0,7977000000.0,6836000000.0,9.87,11451000000.0,6005000000.0,0.16608761145800433,0.1938093734055735,5446000000.0
